dataset,regime,model,method,ratio,seed,accuracy,f1,auc
adult,full,logistic_regression,llm_constrained,1.0,42,0.8504391622136233,0.656800563777308,0.8976956303825132
adult,full,logistic_regression,llm_constrained,1.0,123,0.8486579448436828,0.6563458856345885,0.894598066994654
adult,full,logistic_regression,llm_constrained,1.0,456,0.8488422087095387,0.6537216828478964,0.8991826975049247
adult,full,logistic_regression,llm_constrained,1.0,789,0.8506848473680978,0.6610901993587063,0.8972575541541967
adult,full,logistic_regression,llm_constrained,1.0,1001,0.8474909403599288,0.6490459363957597,0.8936019145631124
adult,full,logistic_regression,llm_constrained,0.75,42,0.850991953811191,0.6511360368133449,0.8936689506180971
adult,full,logistic_regression,llm_constrained,0.75,123,0.8482279958233524,0.6396383257984541,0.8943499123157528
adult,full,logistic_regression,llm_constrained,0.75,456,0.8485965235550642,0.6495094554244277,0.8929186528136639
adult,full,logistic_regression,llm_constrained,0.75,789,0.8498249493274369,0.6462161771089567,0.8919061700143922
adult,full,logistic_regression,llm_constrained,0.75,1001,0.8485351022664456,0.6363904452963728,0.898112567043896
adult,full,logistic_regression,llm_constrained,0.5,42,0.8434371353110989,0.6252021761505661,0.8834001184735769
adult,full,logistic_regression,llm_constrained,0.5,123,0.8426386585590566,0.6192033293697978,0.8826441123587847
adult,full,logistic_regression,llm_constrained,0.5,456,0.8430686075793871,0.6223207686622321,0.8819895176185013
adult,full,logistic_regression,llm_constrained,0.5,789,0.8411031263435906,0.6202847497431381,0.8842658370588945
adult,full,logistic_regression,llm_constrained,0.5,1001,0.8413488114980652,0.6225339763261727,0.8847243837481685
adult,full,logistic_regression,llm_constrained,0.25,42,0.8348381549044899,0.5976357923088433,0.8722858291090791
adult,full,logistic_regression,llm_constrained,0.25,123,0.8371107425833794,0.6009629852542883,0.8697792953937699
adult,full,logistic_regression,llm_constrained,0.25,456,0.8359437380996253,0.6021152986742142,0.8733161686740891
adult,full,logistic_regression,llm_constrained,0.25,789,0.8353909465020576,0.5941853422168383,0.8674649623701073
adult,full,logistic_regression,llm_constrained,0.25,1001,0.835820895522388,0.5989497374343586,0.8706268226603612
adult,full,logistic_regression,llm_constrained,0.0,42,0.8183158282660771,0.5549202527836292,0.8371947543764238
adult,full,logistic_regression,llm_constrained,0.0,123,0.8183158282660771,0.5549202527836292,0.8371947543764238
adult,full,logistic_regression,llm_constrained,0.0,456,0.8183158282660771,0.5549202527836292,0.8371947543764238
adult,full,logistic_regression,llm_constrained,0.0,789,0.8183158282660771,0.5549202527836292,0.8371947543764238
adult,full,logistic_regression,llm_constrained,0.0,1001,0.8183158282660771,0.5549202527836292,0.8371947543764238
adult,full,logistic_regression,llm_sample,1.0,42,0.8504391622136233,0.656800563777308,0.8976956303825132
adult,full,logistic_regression,llm_sample,1.0,123,0.8486579448436828,0.6563458856345885,0.894598066994654
adult,full,logistic_regression,llm_sample,1.0,456,0.8488422087095387,0.6537216828478964,0.8991826975049247
adult,full,logistic_regression,llm_sample,1.0,789,0.8506848473680978,0.6610901993587063,0.8972575541541967
adult,full,logistic_regression,llm_sample,1.0,1001,0.8474909403599288,0.6490459363957597,0.8936019145631124
adult,full,logistic_regression,llm_sample,0.75,42,0.8500092131932928,0.6381149970361588,0.8952990809620323
adult,full,logistic_regression,llm_sample,0.75,123,0.8447884036607088,0.6185660377358491,0.894828113993076
adult,full,logistic_regression,llm_sample,0.75,456,0.8485351022664456,0.6398948598130841,0.8955852074050795
adult,full,logistic_regression,llm_sample,0.75,789,0.8481665745347338,0.6303827751196173,0.8948816842902907
adult,full,logistic_regression,llm_sample,0.75,1001,0.8424543946932007,0.6084567241642498,0.8948232002460639
adult,full,logistic_regression,llm_sample,0.5,42,0.8460168294330815,0.6210128495842782,0.8930930176491338
adult,full,logistic_regression,llm_sample,0.5,123,0.8418401818070144,0.6007132888819972,0.8846343262656924
adult,full,logistic_regression,llm_sample,0.5,456,0.8439899269086666,0.6069328381306097,0.8921405871112207
adult,full,logistic_regression,llm_sample,0.5,789,0.8434371353110989,0.6015319681100516,0.8937607226846372
adult,full,logistic_regression,llm_sample,0.5,1001,0.8427615011362939,0.6096370844769747,0.890276290585198
adult,full,logistic_regression,llm_sample,0.25,42,0.8362508445427185,0.5754777070063695,0.8840498203764098
adult,full,logistic_regression,llm_sample,0.25,123,0.8340396781524476,0.5762233375156838,0.876287250122896
adult,full,logistic_regression,llm_sample,0.25,456,0.8360051593882439,0.5728,0.8820624501699007
adult,full,logistic_regression,llm_sample,0.25,789,0.836496529697193,0.577996195307546,0.882378372738448
adult,full,logistic_regression,llm_sample,0.25,1001,0.835329525213439,0.56484336958286,0.8818989164874196
adult,full,logistic_regression,llm_sample,0.0,42,0.8284503408881518,0.5387283236994219,0.8692931899021036
adult,full,logistic_regression,llm_sample,0.0,123,0.8284503408881518,0.5387283236994219,0.8692931899021036
adult,full,logistic_regression,llm_sample,0.0,456,0.8284503408881518,0.5387283236994219,0.8692931899021036
adult,full,logistic_regression,llm_sample,0.0,789,0.8284503408881518,0.5387283236994219,0.8692931899021036
adult,full,logistic_regression,llm_sample,0.0,1001,0.8284503408881518,0.5387283236994219,0.8692931899021036
adult,full,logistic_regression,ctgan,1.0,42,0.8504391622136233,0.656800563777308,0.8976956303825132
adult,full,logistic_regression,ctgan,1.0,123,0.8486579448436828,0.6563458856345885,0.894598066994654
adult,full,logistic_regression,ctgan,1.0,456,0.8488422087095387,0.6537216828478964,0.8991826975049247
adult,full,logistic_regression,ctgan,1.0,789,0.8506848473680978,0.6610901993587063,0.8972575541541967
adult,full,logistic_regression,ctgan,1.0,1001,0.8474909403599288,0.6490459363957597,0.8936019145631124
adult,full,logistic_regression,ctgan,0.75,42,0.8507462686567164,0.6393588601959038,0.8990089390467456
adult,full,logistic_regression,ctgan,0.75,123,0.8475523616485474,0.6293309438470729,0.8969700685896355
adult,full,logistic_regression,ctgan,0.75,456,0.8512376389656655,0.6468358121901429,0.8966926614338397
adult,full,logistic_regression,ctgan,0.75,789,0.8520361157177078,0.6475493782004389,0.8990812234017306
adult,full,logistic_regression,ctgan,0.75,1001,0.8495178428843437,0.6351995235259082,0.8993370100706722
adult,full,logistic_regression,ctgan,0.5,42,0.8463853571647934,0.6175256155375439,0.8949724945169901
adult,full,logistic_regression,ctgan,0.5,123,0.8477366255144033,0.6203093888803799,0.8974929958195513
adult,full,logistic_regression,ctgan,0.5,456,0.8502548983477674,0.6286932683521169,0.8983489705490914
adult,full,logistic_regression,ctgan,0.5,789,0.8478594680916406,0.6203831417624521,0.8986699114124597
